/Graph
Time (s),Data (Meters),Data0 (Meters),Data1 (Meters)
2.850,+3.278e-07,+1.000e+00,-2.000e+00
2.875,+3.278e-07,+1.000e+00,-2.000e+00
2.900,+3.278e-07,+1.000e+00,-2.000e+00
2.925,+3.278e-07,+1.000e+00,-2.000e+00
2.950,+3.278e-07,+1.000e+00,-2.000e+00
2.975,+3.278e-07,+1.000e+00,-2.000e+00
3.000,+3.278e-07,+1.000e+00,-2.000e+00
3.025,+3.278e-07,+1.000e+00,-2.000e+00
3.050,+3.278e-07,+1.000e+00,-2.000e+00
3.075,+3.278e-07,+1.000e+00,-2.000e+00
3.100,+3.278e-07,+1.000e+00,-2.000e+00
3.125,+3.278e-07,+1.000e+00,-2.000e+00
3.150,+3.278e-07,+1.000e+00,-2.000e+00
3.175,+3.278e-07,+1.000e+00,-2.000e+00
3.200,+3.278e-07,+1.000e+00,-2.000e+00
3.225,+3.278e-07,+1.000e+00,-2.000e+00
3.250,+3.278e-07,+1.000e+00,-2.000e+00
3.275,+3.278e-07,+1.000e+00,-2.000e+00
3.300,+3.278e-07,+1.000e+00,-2.000e+00
3.325,+3.278e-07,+1.000e+00,-2.000e+00
3.350,+3.278e-07,+1.000e+00,-2.000e+00
3.375,+3.278e-07,+1.000e+00,-2.000e+00
3.400,+3.278e-07,+1.000e+00,-2.000e+00
3.425,+3.278e-07,+1.000e+00,-2.000e+00
3.450,+3.278e-07,+1.000e+00,-2.000e+00
3.475,+3.278e-07,+1.000e+00,-2.000e+00
3.500,+3.278e-07,+1.000e+00,-2.000e+00
3.525,+3.278e-07,+1.000e+00,-2.000e+00
3.550,+3.278e-07,+1.000e+00,-2.000e+00
3.575,+3.278e-07,+1.000e+00,-2.000e+00
3.600,+3.278e-07,+1.000e+00,-2.000e+00
3.625,+3.278e-07,+1.000e+00,-2.000e+00
3.650,+3.278e-07,+1.000e+00,-2.000e+00
3.675,+3.278e-07,+1.000e+00,-2.000e+00
3.700,+3.278e-07,+1.000e+00,-2.000e+00
3.725,+3.278e-07,+1.000e+00,-2.000e+00
3.750,+3.278e-07,+1.000e+00,-2.000e+00
3.775,+3.278e-07,+1.000e+00,-2.000e+00
3.800,+3.278e-07,+1.000e+00,-2.000e+00
3.825,+3.278e-07,+1.000e+00,-2.000e+00
3.850,+3.278e-07,+1.000e+00,-2.000e+00
3.875,+3.278e-07,+1.000e+00,-2.000e+00
3.900,+3.278e-07,+1.000e+00,-2.000e+00
3.925,+3.278e-07,+1.000e+00,-2.000e+00
3.950,+3.278e-07,+1.000e+00,-2.000e+00
3.975,+3.278e-07,+1.000e+00,-2.000e+00
4.000,+3.278e-07,+1.000e+00,-2.000e+00
4.025,+3.278e-07,+1.000e+00,-2.000e+00
4.050,+3.278e-07,+1.000e+00,-2.000e+00
4.075,+3.278e-07,+1.000e+00,-2.000e+00
4.100,+3.278e-07,+1.000e+00,-2.000e+00
4.125,+3.278e-07,+1.000e+00,-2.000e+00
4.150,+3.278e-07,+1.000e+00,-2.000e+00
4.175,+3.278e-07,+1.000e+00,-2.000e+00
4.200,+3.278e-07,+1.000e+00,-2.000e+00
4.225,+3.278e-07,+1.000e+00,-2.000e+00
4.250,+3.278e-07,+1.000e+00,-2.000e+00
4.275,+3.278e-07,+1.000e+00,-2.000e+00
4.300,+3.278e-07,+1.000e+00,-2.000e+00
4.325,+3.278e-07,+1.000e+00,-2.000e+00
4.350,+3.278e-07,+1.000e+00,-2.000e+00
4.375,+3.278e-07,+1.000e+00,-2.000e+00
4.400,+3.278e-07,+1.000e+00,-2.000e+00
4.425,+3.278e-07,+1.000e+00,-2.000e+00
4.450,+3.278e-07,+1.000e+00,-2.000e+00
4.475,+3.278e-07,+1.000e+00,-2.000e+00
4.500,+3.278e-07,+1.000e+00,-2.000e+00
4.525,+3.278e-07,+1.000e+00,-2.000e+00
4.550,+3.278e-07,+1.000e+00,-2.000e+00
4.575,+3.278e-07,+1.000e+00,-2.000e+00
4.600,+3.278e-07,+1.000e+00,-2.000e+00
4.625,+3.278e-07,+1.000e+00,-2.000e+00
4.650,+3.278e-07,+1.000e+00,-2.000e+00
4.675,+3.278e-07,+1.000e+00,-2.000e+00
4.700,+3.278e-07,+1.000e+00,-2.000e+00
4.725,+3.278e-07,+1.000e+00,-2.000e+00
4.750,+3.278e-07,+1.000e+00,-2.000e+00
4.775,+3.278e-07,+1.000e+00,-2.000e+00
4.800,+3.278e-07,+1.000e+00,-2.000e+00
4.825,+3.278e-07,+1.000e+00,-2.000e+00
4.850,+3.278e-07,+1.000e+00,-2.000e+00
4.875,+3.278e-07,+1.000e+00,-2.000e+00
